10,17.0
20,34.0
30,51.0
40,68.0
50,85.0
60,102.0
70,119.0
80,136.0
90,153.0
100,170.0
110,187.0
120,204.0
130,221.0
140,238.0
150,255.0
160,272.0
170,289.0
180,306.0
190,323.0
200,340.0
210,357.0
220,374.0
230,391.0
240,408.0
250,425.0
260,442.0
270,459.0
280,475.6
290,492.4
300,510.0
310,527.0
320,544.0
330,560.6
340,577.6
350,595.0
360,611.6
370,629.0
380,645.6
390,662.6
400,678.4
410,696.6
420,713.6
430,730.6
440,747.6
450,764.6
460,781.6
470,798.6
480,815.6
490,832.6
500,849.6
510,866.4
520,883.6
530,900.6
540,917.6
550,934.6
560,951.4
570,968.2
580,985.4
590,1002.4
600,1019.2
610,1036.1
620,1053.1
630,1070.2
640,1087.4
650,1104.2
660,1121.2
670,1138.4
680,1155.0
690,1171.8
700,1189.1
710,1206.2
720,1223.2
730,1240.2
740,1257.4
750,1274.0
760,1291.2
770,1308.2
780,1325.1
790,1342.4
800,1359.2
810,1376.0
820,1393.0
830,1408.8
840,1426.4
850,1444.0
860,1460.9
870,1477.7
880,1494.9
890,1511.7
900,1529.0
910,1545.7
920,1562.5
930,1579.6
940,1596.6
950,1612.5
960,1630.6
970,1646.5
980,1664.3
990,1681.5
1000,1698.6
